,Market_Segment,Vertical_Market,Region,Net_Price,buys_both
12902,PUBLIC SECTOR,Government,GEO_2,2.873237012,1
12903,COMMERCIAL,Media/Entertainment,GEO_1,2.873220829,0
12904,PUBLIC SECTOR,Education- Public/Private,GEO_1,2.873220811,0
12905,PUBLIC SECTOR,Government,GEO_1,2.873031926,1
12906,SMB,Financial Services,GEO_2,2.872970907333334,1
12907,SMB,Service Provider,GEO_1,2.872591475,1
12908,COMMERCIAL,Retail,GEO_2,2.872529121,0
12909,SERVICE PROVIDER,Service Provider,GEO_3,2.871507759,0
12910,COMMERCIAL,Financial Services,GEO_3,2.871461882,1
12911,PUBLIC SECTOR,Government,GEO_2,2.871399178,1
12912,SMB,Manufacturing,GEO_2,2.871399178,1
12913,COMMERCIAL,Unknown,GEO_1,2.871229965,0
12914,COMMERCIAL,Retail,GEO_2,2.8711241355,1
12915,SMB,Unknown,GEO_2,2.8710476880000004,1
12916,PUBLIC SECTOR,Professional Services,GEO_3,2.8710060525000003,1
12917,PUBLIC SECTOR,Professional Services,GEO_2,2.870792346,1
12918,COMMERCIAL,Health Care,GEO_2,2.870743420666667,1
12919,PUBLIC SECTOR,Education- Public/Private,GEO_2,2.870736806,0
12920,PUBLIC SECTOR,Unknown,GEO_1,2.8705940976666664,1
12921,COMMERCIAL,Professional Services,GEO_2,2.870593804,0
12922,ENTERPRISE,Media/Entertainment,GEO_1,2.8705540108000003,1
12923,COMMERCIAL,Unknown,GEO_3,2.870289076666667,1
12924,COMMERCIAL,Manufacturing,GEO_2,2.87013609,0
12925,ENTERPRISE,Retail,GEO_2,2.8700674832,1
12926,SMB,Professional Services,GEO_2,2.869586219,0
12927,COMMERCIAL,WholeSale/Distribution,GEO_1,2.8694104466666666,1
12928,SERVICE PROVIDER,Service Provider,GEO_2,2.8692809115,1
12929,COMMERCIAL,Unknown,GEO_1,2.869200897,0
12930,COMMERCIAL,Manufacturing,GEO_2,2.8687026035,0
12931,PUBLIC SECTOR,Education- Public/Private,GEO_2,2.8685340223333333,1
12932,SMB,Manufacturing,GEO_2,2.868208503,0
12933,PUBLIC SECTOR,Government,GEO_2,2.868208503,0
12934,SMB,Professional Services,GEO_2,2.868208503,0
12935,PUBLIC SECTOR,Education- Public/Private,GEO_2,2.868208503,0
12936,PUBLIC SECTOR,Professional Services,GEO_2,2.868208503,0
12937,PUBLIC SECTOR,Education- Public/Private,GEO_2,2.868208503,0
12938,PUBLIC SECTOR,Government,GEO_2,2.868208503,0
12939,PUBLIC SECTOR,Education- Public/Private,GEO_2,2.868208503,0
12940,PUBLIC SECTOR,Government,GEO_2,2.868208503,0
12941,COMMERCIAL,Financial Services,GEO_2,2.868208503,0
12942,COMMERCIAL,Retail,GEO_2,2.8671338923333334,1
12943,COMMERCIAL,Hospitality/Hotels & Leisure,GEO_2,2.866870902,0
12944,ENTERPRISE,Technical Services,GEO_2,2.8667035325000003,1
12945,COMMERCIAL,Technical Services,GEO_3,2.8665518545,0
12946,OTHER,Professional Services,GEO_2,2.8664783545,1
12947,ENTERPRISE,Health Care,GEO_2,2.8662964725,1
12948,OTHER,Health Care,GEO_2,2.866235401,1
12949,SMB,Professional Services,GEO_2,2.865995088,0
12950,COMMERCIAL,Media/Entertainment,GEO_1,2.865995088,0
12951,SMB,Retail,GEO_2,2.865995088,0
12952,PUBLIC SECTOR,Government,GEO_2,2.865955752,1
12953,OTHER,Professional Services,GEO_2,2.865955752,1
12954,PUBLIC SECTOR,Government,GEO_2,2.865955752,1
12955,PUBLIC SECTOR,Education- Public/Private,GEO_2,2.8656038715000003,0
12956,PUBLIC SECTOR,Government,GEO_2,2.8652679686666667,0
12957,COMMERCIAL,Manufacturing,GEO_3,2.865069499,0
12958,COMMERCIAL,Professional Services,GEO_2,2.865050948,0
12959,SMB,Financial Services,GEO_2,2.8649979720000003,1
12960,SMB,Technical Services,GEO_3,2.86490839825,1
12961,PUBLIC SECTOR,Education- Public/Private,GEO_2,2.864884145,0
12962,SMB,Manufacturing,GEO_1,2.864884145,0
12963,ENTERPRISE,Financial Services,GEO_2,2.864884145,0
12964,PUBLIC SECTOR,Government,GEO_2,2.86432763,0
12965,COMMERCIAL,Technical Services,GEO_2,2.86353408325,1
12966,COMMERCIAL,WholeSale/Distribution,GEO_2,2.863101812,0
12967,PUBLIC SECTOR,Government,GEO_2,2.863047378,0
12968,PUBLIC SECTOR,Energy/Utilities,GEO_2,2.8630014,1
12969,PUBLIC SECTOR,Education- Public/Private,GEO_2,2.862957837,0
12970,PUBLIC SECTOR,Education- Public/Private,GEO_2,2.862957837,0
12971,COMMERCIAL,Manufacturing,GEO_2,2.8629469875,0
12972,SMB,Manufacturing,GEO_2,2.862858649,0
12973,COMMERCIAL,Professional Services,GEO_1,2.862823949333334,1
12974,PUBLIC SECTOR,Government,GEO_2,2.862022732,1
12975,PUBLIC SECTOR,Government,GEO_2,2.8618943805,0
12976,COMMERCIAL,Manufacturing,GEO_2,2.8616035804999997,0
12977,PUBLIC SECTOR,Media/Entertainment,GEO_1,2.8608275145000004,0
12978,ENTERPRISE,Financial Services,GEO_3,2.860699474,0
12979,SMB,Hospitality/Hotels & Leisure,GEO_2,2.860393084,0
12980,COMMERCIAL,Professional Services,GEO_2,2.860318191,0
